"Date","Local.Site.Name","County","meanlatitude","meanlongitude","Month","Year","PM2.5","Ozone"
2024-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2024,43,NA
2024-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,44.5,NA
2024-01-01,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,47.5,NA
2024-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,61,NA
2024-01-01,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,14,NA
2024-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,42,28
2024-01-01,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,48,NA
2024-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,38,NA
2024-01-01,"Linville Falls","Avery",35.972347,-81.933072,1,2024,14,NA
2024-01-01,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,53,NA
2024-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2024,61.5,25
2024-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,46,NA
2024-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,46,NA
2024-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2024,21,NA
2024-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,20.5,NA
2024-01-02,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,37,NA
2024-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,49,NA
2024-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,32,23
2024-01-02,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,33,NA
2024-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,18,NA
2024-01-02,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,33,NA
2024-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2024,32,23
2024-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,12,NA
2024-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,19,NA
2024-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2024,34,NA
2024-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,42,NA
2024-01-03,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,58,NA
2024-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,59,NA
2024-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,52,21
2024-01-03,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,56,NA
2024-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,41,NA
2024-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,55,NA
2024-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,2024,54,21
2024-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,52,NA
2024-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,54,NA
2024-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2024,31,NA
2024-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,50.5,NA
2024-01-04,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,32,NA
2024-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,55,NA
2024-01-04,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,16,NA
2024-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,33,29
2024-01-04,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,28,NA
2024-01-04,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,38,NA
2024-01-04,"Linville Falls","Avery",35.972347,-81.933072,1,2024,13,NA
2024-01-04,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,31,NA
2024-01-04,"Millbrook School","Wake",35.856111,-78.574167,1,2024,36.5,28
2024-01-04,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,39,NA
2024-01-04,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,40,NA
2024-01-05,"Bryson City","Swain",35.434767,-83.442133,1,2024,45,NA
2024-01-05,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,34.5,NA
2024-01-05,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,54,NA
2024-01-05,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,58,NA
2024-01-05,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,35,25
2024-01-05,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,46,NA
2024-01-05,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,21,NA
2024-01-05,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,51,NA
2024-01-05,"Millbrook School","Wake",35.856111,-78.574167,1,2024,34,30
2024-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,25,NA
2024-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,24,NA
2024-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2024,16,NA
2024-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,29,NA
2024-01-06,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,48,NA
2024-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,54,NA
2024-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,23,21
2024-01-06,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,51,NA
2024-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,25,NA
2024-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,48,NA
2024-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2024,34,24
2024-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,18,NA
2024-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,20,NA
2024-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2024,8,NA
2024-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,22,NA
2024-01-07,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,23.5,NA
2024-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,42,NA
2024-01-07,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2024,6,NA
2024-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,15,31
2024-01-07,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,23,NA
2024-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,11,NA
2024-01-07,"Linville Falls","Avery",35.972347,-81.933072,1,2024,5,NA
2024-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,24,NA
2024-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2024,18.5,30
2024-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,8,NA
2024-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,13,NA
2024-01-08,"Bryson City","Swain",35.434767,-83.442133,1,2024,17,NA
2024-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,23,NA
2024-01-08,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,27,NA
2024-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,49,NA
2024-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,24,29
2024-01-08,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,26,NA
2024-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,19,NA
2024-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,27,NA
2024-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,2024,23,30
2024-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,11,NA
2024-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,23,NA
2024-01-09,"Bryson City","Swain",35.434767,-83.442133,1,2024,8,NA
2024-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,38.5,NA
2024-01-09,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,25,NA
2024-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,36,NA
2024-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,13,34
2024-01-09,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,22,NA
2024-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,38,NA
2024-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,27,NA
2024-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,2024,25,NA
2024-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2024,27,NA
2024-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2024,24,NA
2024-01-10,"Bryson City","Swain",35.434767,-83.442133,1,2024,20,NA
2024-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2024,28.5,NA
2024-01-10,"Clemmons Middle","Forsyth",36.026612,-80.341962,1,2024,21,NA
2024-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2024,44,NA
2024-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2024,11,23
2024-01-10,"Hattie Avenue","Forsyth",36.11094,-80.224501,1,2024,19,NA
2024-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,2024,3,NA
2024-01-10,"Linville Falls","Avery",35.972347,-81.933072,1,2024,6,NA
2024-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2024,24,NA
