"CAS Number "|" Chemical Name"|"Chemical Grade"|"Chemical Analysis Method"|" Chemical Purity Mean Op "|" Chemical Purity Mean(%) "|" Chemical Purity Min Op "|" Chemical Purity Min(%) "|" Chemical Purity Max Op "|" Chemical Purity Max(%)"|"Species Scientific Name "|" Species Common Name"|"Species Group"|"Organism Lifestage"|" Organism Age Mean Op "|" Organism Age Mean "|" Organism Age Min Op "|" Organism Age Min "|" Organism Age Max Op "|" Organism Age Max "|" Organism Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Author) "|" Conc 1 Mean Op (Author) "|" Conc 1 Mean (Author) "|" Conc 1 Min Op (Author) "|" Conc Min 1 (Author) "|" Conc 1 Max Op (Author) "|" Conc 1 Max (Author) "|" Conc 1 Units (Author) "|" Conc 2 Type (Author) "|" Conc 2 Mean Op (Author) "|" Conc 2 Mean (Author) "|" Conc 2 Min Op (Author) "|" Conc Min 2 (Author) "|" Conc 2 Max Op (Author) "|" Conc 2 Max (Author) "|" Conc 2 Units (Author) "|" Conc 3 Type (Author) "|" Conc 3 Mean Op (Author) "|" Conc 3 Mean (Author) "|" Conc 3 Min Op (Author) "|" Conc Min 3 (Author) "|" Conc 3 Max Op (Author) "|" Conc 3 Max (Author) "|" Conc 3 Units (Author)"|Effect|"Effect Measurement"|"Endpoint "|" Observed Response Mean Op "|" Observed Response Mean "|" Observed Response Min Op "|" Observed Response Min "|" Observed Response Max Op "|" Observed Response Max "|" Result Statistical Method "|" Observed Response Value "|" Observed Response Units"|"Response Site"|"Observed Duration Op (Days) "|" Observed Duration (Days) "|" Observed Duration Min Op (Days) "|" Observed Duration Min (Days) "|" Observed Duration Max Op (Days) "|" Observed Duration Max (Days) "|" Observed Duration Units (Days)"|"Author "|" Reference Number "|" Title "|" Source "|" Publication Year "|" Citation"|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Adalia bipunctata|Two Spotted Lady Beetle|Insects/Spiders|Larva||1||NR||NR|Instar|Environmental, unspecified|Filter paper|Lab|2|Formulation||0.025/||NR/||NR/|%|||||||||||||||||Mortality|Mortality|NR-LETH||0.025/||NR/||NR/|||%|Not reported||.5||NR||NR|Day(s)|Holy,K., and J. Stara|185343|Laboratory Evaluation of the Effect of Insecticides on Chrysoperla carnea (Neuroptera: Chrysopidae), Forficula auricularia (Dermaptera: Forficulidae), Adalia bipunctata (Coleoptera: Coccinellidae) and Harmonia axyridis |Acta Univ. Agric. Silvic. Mend. Brun.68(3): 497-506|2020|Holy,K., and J. Stara (2020). Laboratory Evaluation of the Effect of Insecticides on Chrysoperla carnea (Neuroptera: Chrysopidae), Forficula auricularia (Dermaptera: Forficulidae), Adalia bipunctata (Coleoptera: Coccinellidae) and Harmonia axyridis . Acta Univ. Agric. Silvic. Mend. Brun., 68, (3), 497-506. doi:10.11118/actaun202068030497. ECOREF#:185343|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||21.7||NR||NR|Aleurodicus dispersus|Spiralling Whitefly|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||144.0/||NR/||NR/|AI ml/ha|||||||||||||||||Population|Abundance|LOEL||144.0/||NR/||NR/|||AI ml/ha|Not reported||15||NR||NR|Day(s)|Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu|175406|Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions|Crop Prot.94:137-143|2017|Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu (2017). Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions. Crop Prot., 94, 137-143. doi:10.1016/j.cropro.2016.12.021. ECOREF#:175406|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||21.7||NR||NR|Aleurodicus dispersus|Spiralling Whitefly|Insects/Spiders|Not reported||NR||NR||NR|Not reported|Spray, hand|No substrate|Field natural|2|Active ingredient||144.0/||NR/||NR/|AI ml/ha|||||||||||||||||Population|Abundance|LOEL||144.0/||NR/||NR/|||AI ml/ha|Not reported||15||NR||NR|Day(s)|Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu|175406|Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions|Crop Prot.94:137-143|2017|Boopathi,T., K.S. Meena, M. Ravi, and K. Thirunavukarasu (2017). Impact of Insecticides on Spiralling Whitefly, Aleurodicus dispersus (Hemiptera: Aleyrodidae) and Its Natural Enemy Complex in Cassava Under Open Field Conditions. Crop Prot., 94, 137-143. doi:10.1016/j.cropro.2016.12.021. ECOREF#:175406|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Technical grade, technical product, technical formulation|Unmeasured||98.4||NR||NR|Anopheles stephensi|Mosquito|Insects/Spiders|Adult||3||NR||NR|Day(s)|Topical, unspecified|No substrate|Lab|NR|Active ingredient||0.267||NR||NR|ng/mg bdwt|||||||||||||||||Mortality|Mortality|LC50||0.267||NR||NR|||ng/mg bdwt|Not reported||1||NR||NR|Day(s)|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju|173152|Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains|Indian J. Med. Res.142:64-70|2015|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju (2015). Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains. Indian J. Med. Res., 142, 64-70. doi:10.4103/0971-5916.176624. ECOREF#:173152|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Technical grade, technical product, technical formulation|Unmeasured||98.4||NR||NR|Anopheles stephensi|Mosquito|Insects/Spiders|Adult||3||NR||NR|Day(s)|Topical, unspecified|No substrate|Lab|NR|Active ingredient||0.295||NR||NR|ng/mg bdwt|||||||||||||||||Mortality|Mortality|LC50||0.295||NR||NR|||ng/mg bdwt|Not reported||1||NR||NR|Day(s)|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju|173152|Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains|Indian J. Med. Res.142:64-70|2015|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju (2015). Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains. Indian J. Med. Res., 142, 64-70. doi:10.4103/0971-5916.176624. ECOREF#:173152|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Technical grade, technical product, technical formulation|Unmeasured||98.4||NR||NR|Anopheles stephensi|Mosquito|Insects/Spiders|Adult||3||NR||NR|Day(s)|Topical, unspecified|No substrate|Lab|NR|Active ingredient||20.636||NR||NR|ng/mg bdwt|||||||||||||||||Mortality|Mortality|LC90||20.636||NR||NR|||ng/mg bdwt|Not reported||1||NR||NR|Day(s)|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju|173152|Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains|Indian J. Med. Res.142:64-70|2015|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju (2015). Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains. Indian J. Med. Res., 142, 64-70. doi:10.4103/0971-5916.176624. ECOREF#:173152|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Technical grade, technical product, technical formulation|Unmeasured||98.4||NR||NR|Anopheles stephensi|Mosquito|Insects/Spiders|Adult||3||NR||NR|Day(s)|Topical, unspecified|No substrate|Lab|NR|Active ingredient||76.035||NR||NR|ng/mg bdwt|||||||||||||||||Mortality|Mortality|LC90||76.035||NR||NR|||ng/mg bdwt|Not reported||1||NR||NR|Day(s)|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju|173152|Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains|Indian J. Med. Res.142:64-70|2015|Uragayala,S., V. Verma, E. Natarajan, P.S. Velamuri, and R. Kamaraju (2015). Adulticidal & Larvicidal Efficacy of Three Neonicotinoids Against Insecticide Susceptible & Resistant Mosquito Strains. Indian J. Med. Res., 142, 64-70. doi:10.4103/0971-5916.176624. ECOREF#:173152|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Intoxication|Knockdown|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.1667||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Mortality|Mortality|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.3333||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
111988499|[N(Z)]-N-[3-[(6-Chloro-3-pyridinyl)methyl]-2-thiazolidinylidene]cyanamide|Not reported|Unmeasured||NR||NR||NR|Aphelinus abdominalis|Glasshouse Potato Wasp|Insects/Spiders|Embryo||NR||1||2|Day(s)|Spray, unspecified|No substrate|Lab|2|Active ingredient||12/||NR/||NR/|AI g/ha|||||||||||||||||Intoxication|Knockdown|LOEL||12/||NR/||NR/|||AI g/ha|Not reported||.25||NR||NR|Day(s)|Willow,J., A. Silva, E. Veromann, and G. Smagghe|179704|Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp|PLoS One14(2): 13 p.|2019|Willow,J., A. Silva, E. Veromann, and G. Smagghe (2019). Acute Effect of Low-Dose Thiacloprid Exposure Synergised by Tebuconazole in a Parasitoid Wasp. PLoS One, 14, (2), 13 p. doi:10.1371/journal.pone.0212456. ECOREF#:179704|
