"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2025","AQS","370030005","1","0.051","ppm","47","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/02/2025","AQS","370030005","1","0.044","ppm","41","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/03/2025","AQS","370030005","1","0.046","ppm","43","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/04/2025","AQS","370030005","1","0.045","ppm","42","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/05/2025","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/06/2025","AQS","370030005","1","0.039","ppm","36","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/07/2025","AQS","370030005","1","0.036","ppm","33","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/08/2025","AQS","370030005","1","0.045","ppm","42","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/09/2025","AQS","370030005","1","0.044","ppm","41","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/10/2025","AQS","370030005","1","0.044","ppm","41","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/11/2025","AQS","370030005","1","0.055","ppm","51","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/12/2025","AQS","370030005","1","0.063","ppm","77","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/13/2025","AQS","370030005","1","0.059","ppm","64","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/14/2025","AQS","370030005","1","0.054","ppm","50","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/15/2025","AQS","370030005","1","0.038","ppm","35","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/16/2025","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/17/2025","AQS","370030005","1","0.036","ppm","33","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/18/2025","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/19/2025","AQS","370030005","1","0.056","ppm","54","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/20/2025","AQS","370030005","1","0.042","ppm","39","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/21/2025","AQS","370030005","1","0.049","ppm","45","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/22/2025","AQS","370030005","1","0.052","ppm","48","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/23/2025","AQS","370030005","1","0.053","ppm","49","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/24/2025","AQS","370030005","1","0.047","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/25/2025","AQS","370030005","1","0.053","ppm","49","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/26/2025","AQS","370030005","1","0.05","ppm","46","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/27/2025","AQS","370030005","1","0.054","ppm","50","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/28/2025","AQS","370030005","1","0.062","ppm","74","Taylorsville Liledoun","13","76.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/29/2025","AQS","370030005","1","0.048","ppm","44","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/30/2025","AQS","370030005","1","0.041","ppm","38","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"03/31/2025","AQS","370030005","1","0.031","ppm","29","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"04/01/2025","AQS","370030005","1","0.037","ppm","34","Taylorsville Liledoun","17","100.0000","44201","Ozone","047","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
