"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","370110002","1","2.6","ug/m3 LC","14","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/04/2024","AQS","370110002","1","2.4","ug/m3 LC","13","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/07/2024","AQS","370110002","1","0.9","ug/m3 LC","5","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/10/2024","AQS","370110002","1","1.1","ug/m3 LC","6","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/13/2024","AQS","370110002","1","2","ug/m3 LC","11","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/16/2024","AQS","370110002","1","3","ug/m3 LC","17","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/19/2024","AQS","370110002","1","4.1","ug/m3 LC","23","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/22/2024","AQS","370110002","1","2.8","ug/m3 LC","16","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/25/2024","AQS","370110002","1","0.9","ug/m3 LC","5","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/28/2024","AQS","370110002","1","0.4","ug/m3 LC","2","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/31/2024","AQS","370110002","1","2.1","ug/m3 LC","12","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/03/2024","AQS","370110002","1","4.7","ug/m3 LC","26","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/06/2024","AQS","370110002","1","3.9","ug/m3 LC","22","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/09/2024","AQS","370110002","1","9","ug/m3 LC","50","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/12/2024","AQS","370110002","1","0.7","ug/m3 LC","4","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/15/2024","AQS","370110002","1","4.1","ug/m3 LC","23","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","","","37","North Carolina","011","Avery","35.972347","-81.933072"
