uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,eventID,ovenStartDate,ovenEndDate,fieldSampleID,sampleCondition,samplePrepMethod,massSampleID,samplingProtocolVersion,biogeoSample,functionalGroup,dryMass,qaDryMass,remarks,measuredBy,publicationDate,release
907e663c-b899-4801-b477-d5effa28bd7b,NIWO_047.basePlot.ltr,D13,NIWO,NIWO_047,NIWO_047_197,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO047197.20160616,,,NEON.LTR.NIWO047197.20160616.FLR,NEON.DOC.001710vE,N,Flowers,0.01,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
8c01e181-8bfb-4f66-ab4e-e76fd291ca48,NIWO_047.basePlot.ltr,D13,NIWO,NIWO_047,NIWO_047_197,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO047197.20160616,,,NEON.LTR.NIWO047197.20160616.LVS,NEON.DOC.001710vE,N,Leaves,0,N,no sample to collect,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
8a69528e-5d64-4601-ae19-3e2ae57eb20c,NIWO_047.basePlot.ltr,D13,NIWO,NIWO_047,NIWO_047_197,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO047197.20160616,,,NEON.LTR.NIWO047197.20160616.NDL,NEON.DOC.001710vE,N,Needles,0.54,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
154c966e-e66e-4450-b7ba-c43733562863,NIWO_061.basePlot.ltr,D13,NIWO,NIWO_061,NIWO_061_169,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO061169.20160616,,,NEON.LTR.NIWO061169.20160616.LVS,NEON.DOC.001710vE,N,Leaves,0,N,no sample to collect,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
a8887a79-49ea-4a6c-bb9b-2004b7474287,NIWO_062.basePlot.ltr,D13,NIWO,NIWO_062,NIWO_062_050,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO062050.20160616,,,NEON.LTR.NIWO062050.20160616.OTH,NEON.DOC.001710vE,N,Other,0.58,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
cdc81a38-31ff-4a37-8c1a-3a652a8f456f,NIWO_057.basePlot.ltr,D13,NIWO,NIWO_057,NIWO_057_081,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-17 17:15:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO057081.20160616,,,NEON.LTR.NIWO057081.20160616.LVS,NEON.DOC.001710vE,N,Leaves,0,N,no sample to collect,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
45a81c33-04c0-42a9-8bbc-76ee189c8819,NIWO_061.basePlot.ltr,D13,NIWO,NIWO_061,NIWO_061_169,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO061169.20160616,,,NEON.LTR.NIWO061169.20160616.SDS,NEON.DOC.001710vE,N,Seeds,0.05,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
db27ed65-93a2-432d-8b41-a7804a5794b0,NIWO_057.basePlot.ltr,D13,NIWO,NIWO_057,NIWO_057_081,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-17 17:15:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO057081.20160616,,,NEON.LTR.NIWO057081.20160616.WDY,NEON.DOC.001710vE,N,Woody material,1.56,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
b7ceab15-f58a-4bba-8421-665172e437f7,NIWO_057.basePlot.ltr,D13,NIWO,NIWO_057,NIWO_057_081,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-17 17:15:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO057081.20160616,,,NEON.LTR.NIWO057081.20160616.TWI,NEON.DOC.001710vE,N,Twigs/branches,7.36,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
bd713ae8-a136-4058-84e8-f34fe5f77332,NIWO_062.basePlot.ltr,D13,NIWO,NIWO_062,NIWO_062_050,2016-06-22,2015-09-29,2016-06-16,LTR.2016.NIWO.01,2016-06-16 23:20:00+00:00,2016-06-22 22:25:00+00:00,NEON.LTR.NIWO062050.20160616,,,NEON.LTR.NIWO062050.20160616.FLR,NEON.DOC.001710vE,N,Flowers,0.05,N,,jlinden@field-ops.org,20251204T230619Z,RELEASE-2026
